,FID,area,count,lng,lat,NEAR_FID,NEAR_DIST,FID_1,OBJECTID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,分类,Shape_Leng,BertGridJoinLabel,POINUM,POITYPE,roadclass,POINUMtrans,counttrans
0,0,文化大道谭鑫培路口,16,114.313311412,30.410548097399996,5641,0.025530308421800003,5641,6396,457652868,5121,unclassified, , ,B,0,0.0,F,F,城市支路,443.98703884099996,4,1,Class-1,3,-0.1432770429526107,0.0017744685292787321
1,1,纱帽街老车站,4,114.079287819,30.330352922600003,5261,0.12085205298900001,5261,5902,454908132,5113,primary,武金堤,S102,B,0,0.0,F,F,城市主干道,4472.18840673,0,11,Class12,5,-0.1388865781179233,-0.07755471277965277
2,2,雄楚大道公安厅门前辅道（石牌岭西路至丁字桥螺口方向）,1,114.328135553,30.5331279272,3116,0.000293889266905,3116,3485,231521436,5114,secondary,丁字桥路, ,F,0,0.0,F,F,城市主干道,345.27016514800005,629,988,Class-1,5,0.29006183623104015,-0.09738700810688564
3,3,江夏区纸坊城区,8,114.32353844200001,30.3675583679,5641,0.0679483703082,5641,6396,457652868,5121,unclassified, , ,B,0,0.0,F,F,城市支路,443.98703884099996,0,11,Class12,3,-0.1388865781179233,-0.05111165234334227
4,4,平大道下桥处德成长江国际门口段,12,114.302226962,30.4603074236,3503,6.9096879162e-05,3503,3889,231808168,5114,secondary,南李路, ,F,0,0.0,F,F,城市主干道,2894.78647987,2,27,Class-1,5,-0.13186183438242335,-0.02466859190703177
5,5,东湖景园路段,10,114.369575369,30.584306978,5529,0.0015426898504600002,5529,6268,456583419,5114,secondary, , ,F,0,0.0,F,F,城市主干道,1187.1816416499996,1201,175,Class5,5,-0.06688295482904916,-0.03789012212518702
6,6,汉阳区四新北路红星美凯龙门口,24,114.24036581200001,30.514680308600003,3602,4.4714483653999994e-05,3602,4005,233478900,5114,secondary,鹦鹉大道, ,B,0,0.0,F,F,城市主干道,6092.375444009999,396,55,Class-1,5,-0.11956853284529852,0.05466058940189973
7,7,风景区二环线东湖景园路段,10,114.369575369,30.584306978,5529,0.0015426898504600002,5529,6268,456583419,5114,secondary, , ,F,0,0.0,F,F,城市主干道,1187.1816416499996,1201,175,Class5,5,-0.06688295482904916,-0.03789012212518702
8,8,紫阳东路东安路口,10,114.313580754,30.5291261787,3139,6.576168712e-06,3139,3508,231522780,5115,tertiary,东安路, ,B,0,0.0,F,F,城市次干道,166.705176642,569,618,Class-1,2,0.12761463734760467,-0.03789012212518702
9,9,建设大道延长线与和谐大道交汇处,20,114.29819734799999,30.645682395100003,5382,0.00011337148459,5382,6070,456043539,5114,secondary,兴业路, ,F,0,0.0,F,F,城市主干道,2909.96617401,1793,358,Class4,5,0.013462551645731088,0.028217528965589232
10,10,东湖路,3,114.32364045700001,30.3672834694,5641,0.068229183504,5641,6396,457652868,5121,unclassified, , ,B,0,0.0,F,F,城市支路,443.98703884099996,0,11,Class12,3,-0.1388865781179233,-0.0841654778887304
11,11,东彭路尤庙涵洞,7,114.45778812200001,30.548230494299997,5834,0.0024687908291999997,5834,6606,458084201,5121,unclassified, , ,B,0,0.0,F,F,城市支路,1736.12582753,768,4,Class-1,3,-0.1419599035022045,-0.0577224174524199
12,12,硚口区知音桥桥面,10,114.21369207,30.578503931799997,2391,0.0019290941054899999,2391,2715,177261200,5114,secondary,沿河大道, ,F,0,0.0,F,F,城市主干道,5353.2554275,1115,60,Class-1,5,-0.11737330042795478,-0.03789012212518702
13,13,琴台大道古田桥,20,114.218021111,30.5709904146,1455,1.011792313e-05,1455,1622,116184473,5113,primary,琴台大道, ,F,0,0.0,F,F,城市主干道,3061.95014715,1061,212,Class29,5,-0.050638234940705615,0.028217528965589232
14,14,琴台大道郭茨口邮局门口,20,114.20865283399999,30.5716295491,5265,0.0006043338506109999,5265,5908,455183514,5112,trunk,二环线, ,F,0,0.0,F,F,高架及快速路,279.856325755,1059,743,Class29,4,0.18249544778119775,0.028217528965589232
15,15,经开区太子湖北路,49,114.179297779,30.5157487729,196,0.0047514718012500005,196,228,98607111,5115,tertiary, , ,B,0,0.0,F,F,城市次干道,366.416252017,489,4,Class20,2,-0.1419599035022045,0.21992971712884035
16,16,张之洞路首义路口,5,114.304976147,30.537563043600002,3512,0.0010303551355899999,3512,3898,231810585,5114,secondary,首义路, ,B,0,0.0,F,F,城市主干道,860.237792255,682,674,Class5,5,0.15220124042185437,-0.07094394767057514
17,17,四新南路新华园二路,35,114.216563684,30.5121281177,7365,5.0228784973e-05,7365,8416,721828543,5114,secondary, , ,F,0,0.0,F,F,城市主干道,3369.06031046,391,40,Class14,5,-0.12615423009732968,0.12737900560175364
18,18,星光大道工业一路邢远长街,36,114.26732615700001,30.391540129699997,4861,0.0264480938247,4861,5419,364372572,5122,residential, , ,B,0,0.0,F,F,城市支路,570.039343909,0,11,Class12,3,-0.1388865781179233,0.13398977071083124
19,19,汉口部分地区,3,114.248979996,30.6215363627,7595,0.0018645702973999999,7595,8779,765596667,5122,residential, , ,B,0,0.0,F,F,城市支路,245.455205615,1603,286,Class-1,3,-0.01814879516401852,-0.0841654778887304
20,20,东西湖区,6,114.13132186200001,30.6219981812,854,0.013645080124500001,854,978,104679321,5112,trunk,解放大道, ,F,0,0.0,F,F,高架及快速路,480.09183418199996,1533,110,Class-1,4,-0.09542097625451756,-0.06433318256149752
21,21,虎泉街保利华都,165,114.37858905700001,30.5108542598,2237,0.000129499826135,2237,2494,169556485,5122,residential, , ,B,0,0.0,F,F,城市支路,493.971693469,423,146,Class-1,3,-0.07961530284964276,0.9867784697818447
22,22,江夏区江夏大道信息传播学院门口,5,114.368547882,30.4059961413,5572,0.0560948567955,5572,6319,457305471,5121,unclassified, , ,F,0,0.0,F,F,城市支路,29.325387840700003,15,27,Class-1,3,-0.13186183438242335,-0.07094394767057514
23,23,洪山路省政府往东一路,7,114.409219385,30.5163273431,657,2.4592955367e-05,657,759,103806241,5121,unclassified, , ,B,0,0.0,F,F,城市支路,619.512502662,480,582,Class-1,3,0.11180896394272988,-0.0577224174524199
24,24,江夏大道中国税务门口,8,114.79214451200001,30.847768765399998,4479,0.32042377730300003,4479,4912,300389310,5121,unclassified, , ,B,0,0.0,F,F,城市支路,17635.1966673,0,11,Class12,3,-0.1388865781179233,-0.05111165234334227
25,25,雄楚大道公安厅门前辅道（石牌岭西路至丁字桥螺口方向）,7,114.324689678,30.528302602800004,3123,0.0006441368160240001,3123,3492,231521444,5121,unclassified, , ,B,0,0.0,F,F,城市支路,647.4294380710002,572,497,Class16,3,0.07449001284788657,-0.0577224174524199
26,26,协和肿瘤医院,8,114.25802542299999,30.6155958482,4946,0.0005365662728140001,4946,5527,378864127,5113,primary,新华路, ,F,0,0.0,F,F,城市主干道,1817.01779556,1553,776,Class-1,5,0.1969839817356663,-0.05111165234334227
27,27,开放学院门口涵洞,12,114.392239005,30.5019922264,3169,0.00061315333775,3169,3538,231527033,5113,primary,民族大道, ,F,0,0.0,F,F,城市主干道,660.3173179049999,327,918,Class-1,5,0.25932858238822803,-0.02466859190703177
28,28,通城大道姚家岭小学路口,12,114.022584254,30.5382182234,168,0.11009884010099999,168,198,98322203,5122,residential, , ,B,0,0.0,F,F,城市支路,2075.96293947,0,11,Class12,3,-0.1388865781179233,-0.02466859190703177
29,29,107国道金竹路口,17,114.263031315,30.303281836500002,1506,0.08834555258369998,1506,1676,116582262,5115,tertiary, , ,B,0,0.0,F,F,城市次干道,6011.86746476,0,11,Class12,2,-0.1388865781179233,0.008385233638356358
30,30,欢乐大道辅道,20,114.375104306,30.5917848543,5092,1.8237969116e-05,5092,5710,414629940,5111,motorway, , ,F,0,0.0,F,F,高架及快速路,310.47924568,1309,193,Class-1,4,-0.05898011812661176,0.028217528965589232
31,31,和平大道建设十路至建设十一路,12,114.414108949,30.650483735199998,5496,0.000698457331594,5496,6227,456207683,5114,secondary, , ,B,0,0.0,F,F,城市主干道,1077.32103323,1785,36,Class-1,5,-0.12791041603120465,-0.02466859190703177
32,32,滨湖路,36,114.397991812,30.4446692672,439,0.023488363179200004,439,518,99484086,5114,secondary, , ,F,0,0.0,F,F,城市主干道,185.41910547900002,40,39,Class-1,5,-0.12659327658079841,0.13398977071083124
33,33,解放大道武展西路,8,114.266756483,30.5824881602,2833,5.8832389950000006e-05,2833,3180,178441764,5115,tertiary,武展西路, ,F,0,0.0,F,F,城市次干道,401.589563531,1180,2168,Class-1,2,0.8081366867241587,-0.05111165234334227
34,34,金融港路金融港四路口,20,114.419918261,30.4585242534,2276,0.017751227940700002,2276,2533,170316114,5121,unclassified, , ,B,0,0.0,F,F,城市支路,568.41628799,45,87,Class5,3,-0.10551904537429868,0.028217528965589232
35,35,车城西路与车城大道交汇路口,20,114.13878183,30.4919751133,7044,0.0339607976422,7044,8040,665071617,5111,motorway,四環線, ,F,0,0.0,F,F,高架及快速路,2027.39130656,598,3,Class-1,4,-0.1423989499856732,0.028217528965589232
36,36,青年路万松横路南向北,8,114.257775869,30.6029158798,5935,2.5232901047999998e-05,5935,6711,481237362,5113,primary,青年路, ,F,0,0.0,F,F,城市主干道,627.605445088,1391,509,Class29,5,0.07975857064951151,-0.05111165234334227
37,37,东风大道车城西路,8,114.14322287600001,30.4973613664,7041,0.0290455682988,7041,8036,665071613,5111,motorway,四環線, ,F,0,0.0,F,F,高架及快速路,2031.43648161,598,3,Class-1,4,-0.1423989499856732,-0.05111165234334227
38,38,汉西路解放大道至沿河大道,1,114.791224453,30.8411218667,4479,0.315720641948,4479,4912,300389310,5121,unclassified, , ,B,0,0.0,F,F,城市支路,17635.1966673,0,11,Class12,3,-0.1388865781179233,-0.09738700810688564
39,39,黄鹂路至省博路转盘,10,114.358560216,30.5661251526,3208,1.9651117191e-05,3208,3577,231778124,5115,tertiary, , ,F,0,-1.0,F,T,城市次干道,119.285372792,1034,495,Class-1,2,0.0736119198809491,-0.03789012212518702
40,40,高新区民族大道新竹路口12处,20,114.38631185,30.468758878600003,4965,0.00947648926943,4965,5546,379886766,5122,residential, , ,F,0,0.0,F,F,城市支路,106.504735232,38,147,Class-1,3,-0.07917625636617401,0.028217528965589232
41,41,百花街,4,114.076420273,30.3087856283,5261,0.13634871541899998,5261,5902,454908132,5113,primary,武金堤,S102,B,0,0.0,F,F,城市主干道,4472.18840673,0,11,Class12,5,-0.1388865781179233,-0.07755471277965277
42,42,航空路西边人行道,4,114.25625730200001,30.5870614225,2663,1.8291832816e-05,2663,2999,178132122,5115,tertiary,航空路, ,B,0,0.0,F,F,城市次干道,1343.34142252,1232,990,Class-1,2,0.2909399291979776,-0.07755471277965277
43,43,洪山路东一路口,26,114.333586384,30.547884724499998,3880,0.000140599250338,3880,4287,236668625,5114,secondary, , ,F,0,0.0,F,F,城市主干道,57.453409909899996,802,1324,Class-1,5,0.4375814546765383,0.06788211962005498
44,44,琴台大道江汉二桥通道,12,114.208938554,30.5701727768,4915,0.00011301042739499998,4915,5494,369632011,5122,residential,永丰路, ,B,0,0.0,F,F,城市支路,917.708120457,1059,743,Class29,3,0.18249544778119775,-0.02466859190703177
45,45,四新南路新华园二路口,11,114.20972093,30.5156834264,7365,0.00016430658624799998,7365,8416,721828543,5114,secondary, , ,F,0,0.0,F,F,城市主干道,3369.06031046,441,141,Class37,5,-0.08181053526698648,-0.03127935701610939
46,46,邾城中队巡逻城内衡州大街摩尔城路口,3,114.79644343,30.836520769899998,4479,0.317289300323,4479,4912,300389310,5121,unclassified, , ,B,0,0.0,F,F,城市支路,17635.1966673,0,11,Class12,3,-0.1388865781179233,-0.0841654778887304
47,47,中心城区高新四路软件工程学院北门,46,114.45349001,30.457680029699997,6123,0.0192233313041,6123,6916,492711251,5115,tertiary,流芳园横路, ,B,0,0.0,F,F,城市次干道,612.8846587049999,81,17,Class12,2,-0.13625229921711082,0.2000974218016075
48,48,黄陂滠口,2,114.345540734,30.7162486902,7784,0.024090208087800002,7784,8968,766001053,5142,track, , ,B,0,0.0,F,F,郊区乡村道路,21.783981166900002,1970,3,Class-1,1,-0.1423989499856732,-0.09077624299780802
49,49,南岸嘴,3,114.28005131399999,30.5619107811,6545,6.4400608766e-05,6545,7435,591854721,5115,tertiary,晴川街, ,B,0,0.0,F,F,城市次干道,434.966595535,963,60,Class-1,2,-0.11737330042795478,-0.0841654778887304
50,50,经开区东北部,28,114.139611623,30.4803169473,7041,0.045639620781899995,7041,8036,665071613,5111,motorway,四環線, ,F,0,0.0,F,F,高架及快速路,2031.43648161,489,4,Class20,4,-0.1419599035022045,0.08110364983821024
51,51,友谊大道长江隧道入口,13,114.32531348200001,30.574390470999997,6457,0.00034731778111800007,6457,7324,551384805,5113,primary,团结大道, ,F,0,0.0,F,F,城市主干道,1327.9584327100004,1083,221,Class-1,5,-0.04668681658948692,-0.018057826797954143
52,52,中华路粮食局,10,114.2916713,30.551831171,3318,0.0005056577757709999,3318,3698,231786680,5115,tertiary, , ,B,0,0.0,F,F,城市次干道,307.874558331,851,1152,Class-1,2,0.36206545951991426,-0.03789012212518702
53,53,小东门右转专用道,10,114.311034135,30.5453008751,5287,0.000491536139626,5287,5934,455186807,5114,secondary,民主路, ,F,0,0.0,F,F,城市主干道,2146.65562919,798,954,Class-1,5,0.27513425579310286,-0.03789012212518702
54,54,东湖路,7,114.35199913,30.5540299671,3198,3.9204880458000005e-05,3198,3567,231778113,5113,primary,东湖路, ,F,0,0.0,F,F,城市主干道,2814.0088935800004,863,93,Class-1,5,-0.10288476647348622,-0.0577224174524199
55,55,洪山区二环线梨园医院处进入梨园下穿通道,10,114.373044034,30.584691378600002,5170,0.0006154746804620001,5170,5790,425879111,5131,motorway_link, , ,F,0,0.0,F,F,高架及快速路,455.27260490699996,1201,175,Class5,4,-0.06688295482904916,-0.03789012212518702
56,56,梅苑路中南路街道办事处门口,10,114.319286028,30.5339512079,104,0.000246646184499,104,130,70203381,5115,tertiary,梅苑路, ,B,0,0.0,F,F,城市次干道,731.786125099,628,697,Class-1,2,0.1622993095416355,-0.03789012212518702
57,57,书卷路公正路路口,10,114.326007605,30.5585952728,4853,4.7084373704999995e-05,4853,5402,363719763,5115,tertiary,书卷路, ,B,0,0.0,F,F,城市次干道,264.534053417,915,75,Class12,2,-0.11078760317592361,-0.03789012212518702
58,58,公正路涵洞,10,114.32478969600001,30.557677708499998,5929,6.120215863e-06,5929,6703,481235859,5114,secondary,公正路, ,F,0,0.0,F,F,城市主干道,2654.989741900001,915,75,Class12,5,-0.11078760317592361,-0.03789012212518702
59,59,中南路下徐家湾,10,114.329999449,30.538850853000003,5323,0.000671434501247,5323,5972,455322016,5122,residential, , ,B,0,0.0,F,F,城市支路,805.017370345,687,222,Class-1,3,-0.04624777010601817,-0.03789012212518702
60,60,民族大道330号,32,114.38070431700001,30.4516958762,5651,0.0227224168677,5651,6406,457722327,5114,secondary, , ,F,0,0.0,F,F,城市主干道,242.053420275,37,329,Class-1,5,0.0007302036251374967,0.10754671027452074
61,61,白沙洲大道绅宝二手车市场,8,114.254667309,30.4227003732,1502,0.00035437162362300005,1502,1672,116582242,5112,trunk,白沙洲大道,G107,F,0,0.0,F,F,高架及快速路,2393.02320051,16,0,Class0,4,-0.14371608943607947,-0.05111165234334227
62,62,金家咀,4,114.510343257,30.8208965537,6855,0.138801425606,6855,7823,626293155,5121,unclassified, , ,B,0,0.0,F,F,城市支路,854.6802319429999,0,11,Class12,3,-0.1388865781179233,-0.07755471277965277
63,63,107国道海波重科口,29,114.37725053,30.5318378348,1414,0.000376610551071,1414,1581,112939008,5115,tertiary,东湖东路, ,B,0,0.0,F,F,城市次干道,3033.34429098,639,13,Class-1,2,-0.1380084851509858,0.08771441494728786
64,64,新洲将军山,1,115.07704214799999,30.885144907199997,7858,0.565932792576,7858,9045,767941546,5122,residential, , ,B,0,0.0,F,F,城市支路,52.3081190211,0,11,Class12,3,-0.1388865781179233,-0.09738700810688564
65,65,青年路万松园横路,8,114.256356979,30.5906001739,2843,2.0062140191e-05,2843,3192,178443584,5115,tertiary,万松园横路, ,B,0,0.0,F,F,城市次干道,339.87985122,1285,1147,Class29,2,0.35987022710257055,-0.05111165234334227
66,66,洪山区南李路,4,114.308026993,30.501915041100002,3502,0.0007002859978160002,3502,3888,231808165,5114,secondary,恒安路, ,F,0,0.0,F,F,城市主干道,923.8707622689999,310,462,Class-1,5,0.05912338592648052,-0.07755471277965277
67,67,车城大道,25,114.157985739,30.4799539119,361,0.0350862521025,361,412,99319358,5114,secondary, , ,F,0,0.0,F,F,城市主干道,523.03357776,489,4,Class20,5,-0.1419599035022045,0.061271354510977365
68,68,尤李村南国大家装下桥处,10,114.345160279,30.5158690519,279,0.000291828685995,279,313,98965439,5113,primary,珞狮路, ,F,0,0.0,F,F,城市主干道,1280.53398708,468,824,Class5,5,0.21805821294216604,-0.03789012212518702
69,69,龙翔路车友路,12,114.18971982,30.5452394275,5581,0.00372316124894,5581,6329,457309845,5113,primary, , ,F,0,0.0,F,F,城市主干道,4352.49361493,774,238,Class16,5,-0.039223026370518256,-0.02466859190703177
70,70,藏龙大道流芳路口（北向南）,20,114.440827343,30.4210600408,3764,0.0536076713803,3764,4170,233591470,5115,tertiary,九夫小路, ,B,0,0.0,F,F,城市次干道,1026.78762446,45,87,Class5,2,-0.10551904537429868,0.028217528965589232
71,71,沙湖果批小路,10,114.283648399,30.4856312663,3104,0.0008656286373869999,3104,3473,231436850,5115,tertiary,白沙二路, ,F,0,0.0,F,F,城市次干道,1082.94705943,170,211,Class-1,2,-0.051077281424174364,-0.03789012212518702
72,72,蔡甸区新天大道与知音湖大道交汇路口,5,114.087660557,30.5589343621,1917,0.0427259630136,1917,2127,135176387,5144,track_grade2, , ,B,0,0.0,F,F,郊区乡村道路,162.930333513,939,74,Class-1,1,-0.11122664965939237,-0.07094394767057514
73,73,卓刀泉北路,20,114.370153216,30.531451632899998,1756,3.5849232545999996e-05,1756,1948,127024099,5115,tertiary,卓刀泉北路, ,F,0,0.0,F,F,城市次干道,795.8260609739999,638,382,Class-1,2,0.02399966724898096,0.028217528965589232
74,74,青王路大功率检修基地涵洞,92,114.44142687700001,30.559682447100002,110,2.4574594726e-05,110,136,76834972,5113,primary,青王公路, ,F,0,0.0,F,F,城市主干道,9373.85072236,938,4,Class-1,5,-0.1419599035022045,0.5041926168191783
75,75,王家湾往知音桥方向,15,114.21909449700001,30.5655833947,1875,0.000498929676559,1875,2077,132905551,5122,residential, , ,B,0,0.0,F,F,城市支路,306.660030381,1006,325,Class-1,3,-0.0010259823087374815,-0.004836296579798892
76,76,琴断口南岸116号,4,114.175768114,30.5855410994,7839,0.000327551160899,7839,9025,766387524,5115,tertiary,郭茨口路, ,B,0,0.0,F,F,城市次干道,13986.2295128,1216,4,Class20,2,-0.1419599035022045,-0.07755471277965277
77,77,江夏北部,17,114.31654919399999,30.3781392758,5641,0.057298182902499994,5641,6396,457652868,5121,unclassified, , ,B,0,0.0,F,F,城市支路,443.98703884099996,5,2,Class-1,3,-0.14283799646914197,0.008385233638356358
78,78,二环线未来城上下桥匝道,14,114.348072209,30.527097924,2286,0.000764683656036,2286,2543,171735080,5122,residential,群光南路, ,F,0,0.0,F,F,城市支路,294.45316856,576,2605,Class-1,3,1.0,-0.011447061688876518
79,79,雄楚大道高架,10,114.35130659,30.512438161,3463,8.8184405797e-05,3463,3849,231805330,5113,primary,雄楚大道, ,F,0,0.0,F,F,城市主干道,1899.4979489,418,377,Class-1,5,0.021804434831637236,-0.03789012212518702
80,80,建一路沿河大道至解放大道,36,114.276031371,30.5870085268,7957,9.89580161e-07,7957,9167,772925968,5113,primary,解放大道, ,F,0,0.0,F,F,城市主干道,272.37875822,1236,1242,Class-1,5,0.4015796430321013,0.13398977071083124
81,81,蔡甸区新天大道,22,114.069306397,30.5642568103,168,0.05686998117980001,168,198,98322203,5122,residential, , ,B,0,0.0,F,F,城市支路,2075.96293947,939,74,Class-1,3,-0.11122664965939237,0.04143905918374448
82,82,星光大道工业一路豹子山街,36,114.25773925600001,30.4118503605,4861,0.00399030183962,4861,5419,364372572,5122,residential, , ,B,0,0.0,F,F,城市支路,570.039343909,16,0,Class0,3,-0.14371608943607947,0.13398977071083124
83,83,藏龙大道流芳路—杨桥湖北路,8,114.435952955,30.402428901799997,2113,0.0717468615005,2113,2364,159681241,5113,primary,光谷三路, ,F,0,0.0,F,F,城市主干道,424.623226159,45,87,Class5,5,-0.10551904537429868,-0.05111165234334227
84,84,尚文路,20,114.380319489,30.5060518329,829,0.00017394467933,829,953,104469110,5122,residential,尚文路, ,B,0,0.0,F,F,城市支路,371.48792572900004,374,643,Class-1,3,0.1385907994343233,0.028217528965589232
85,85,南安街米兰国际路段,2,114.312622501,30.5267287052,961,5.591968900399999e-05,961,1090,105569023,5115,tertiary,南安街, ,B,0,0.0,F,F,城市次干道,503.42137208300005,569,618,Class-1,2,0.12761463734760467,-0.09077624299780802
86,86,青王路花木城铁路桥下,13,114.46037744,30.5225087543,7294,0.000180476567407,7294,8343,693456782,5121,unclassified, , ,B,0,0.0,F,F,城市支路,803.426115342,542,2,Class-1,3,-0.14283799646914197,-0.018057826797954143
87,87,知音湖大道交汇路口,10,114.080540935,30.531004809000002,7045,0.0540967210289,7045,8042,665071619,5111,motorway,四環線, ,F,0,0.0,F,F,高架及快速路,23.9667875858,769,42,Class-1,4,-0.12527613713039218,-0.03789012212518702
88,88,洪山路省政府往东一路,5,114.33751048799999,30.5450093396,45,8.0314246771e-05,45,61,46736242,5114,secondary,东一路, ,B,0,0.0,F,F,城市主干道,742.3543325889999,803,1254,Class12,5,0.4068482008337262,-0.07094394767057514
89,89,汉江北路泰佛工业园路口,12,114.273118051,30.5916143887,2604,0.00013201557428299998,2604,2940,177820523,5114,secondary,江汉北路, ,F,0,0.0,F,F,城市主干道,1402.7465540700002,1288,1468,Class29,5,0.5008041482960375,-0.02466859190703177
90,90,五里界锦绣大道路口,36,114.37360425,30.338701995500003,5641,0.110892530048,5641,6396,457652868,5121,unclassified, , ,B,0,0.0,F,F,城市支路,443.98703884099996,0,11,Class12,3,-0.1388865781179233,0.13398977071083124
91,91,汉江武汉段,5,114.277819315,30.576308825399998,2410,0.00030884787709,2410,2735,177263213,5122,residential,清芬一路, ,B,0,0.0,F,F,城市支路,428.22917755699996,1128,2059,Class-1,3,0.7602806200260656,-0.07094394767057514
92,92,康福路天龙路口,10,114.36175210200001,30.5032213117,419,4.485061756499999e-05,419,498,99478605,5115,tertiary,康福路, ,B,0,0.0,F,F,城市次干道,404.54620519800005,321,436,Class-1,2,0.047708177356293166,-0.03789012212518702
93,93,长江汉口站,5,114.275730919,30.5809022102,2456,4.9900641818000005e-05,2456,2781,177621046,5122,residential,民主街, ,B,0,0.0,F,F,城市支路,602.573510106,1182,1881,Class-1,3,0.682130345968629,-0.07094394767057514
